group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compare,RBT,3,,,61684983.0,ns,2
Compare,RBT,3,,,61917906.0,ns,2
Compare,RBT,3,,,61765674.0,ns,2
Compare,RBT,3,,,60653448.0,ns,2
Compare,RBT,3,,,60145782.0,ns,2
Compare,RBT,3,,,60455052.0,ns,2
Compare,RBT,3,,,60811870.0,ns,2
Compare,RBT,3,,,60322140.0,ns,2
Compare,RBT,3,,,60446661.0,ns,2
Compare,RBT,3,,,60530505.0,ns,2
Compare,RBT,3,,,60090796.0,ns,2
Compare,RBT,3,,,60644222.0,ns,2
Compare,RBT,3,,,60254782.0,ns,2
Compare,RBT,3,,,60665391.0,ns,2
Compare,RBT,3,,,60649786.0,ns,2
Compare,RBT,3,,,61761539.0,ns,2
Compare,RBT,3,,,61721241.0,ns,2
Compare,RBT,3,,,62044703.0,ns,2
Compare,RBT,3,,,62547984.0,ns,2
Compare,RBT,3,,,60637203.0,ns,2
Compare,RBT,3,,,59919687.0,ns,2
Compare,RBT,3,,,60951503.0,ns,2
Compare,RBT,3,,,60631871.0,ns,2
Compare,RBT,3,,,61082627.0,ns,2
Compare,RBT,3,,,60856946.0,ns,2
Compare,RBT,3,,,60416122.0,ns,2
Compare,RBT,3,,,60076059.0,ns,2
Compare,RBT,3,,,59877544.0,ns,2
Compare,RBT,3,,,60119506.0,ns,2
Compare,RBT,3,,,59744238.0,ns,2
Compare,RBT,3,,,59877192.0,ns,2
Compare,RBT,3,,,59887333.0,ns,2
Compare,RBT,3,,,59960813.0,ns,2
Compare,RBT,3,,,61148968.0,ns,2
Compare,RBT,3,,,61576138.0,ns,2
Compare,RBT,3,,,60699294.0,ns,2
Compare,RBT,3,,,60250066.0,ns,2
Compare,RBT,3,,,60251068.0,ns,2
Compare,RBT,3,,,60372006.0,ns,2
Compare,RBT,3,,,59768441.0,ns,2
Compare,RBT,3,,,60398405.0,ns,2
Compare,RBT,3,,,59941065.0,ns,2
Compare,RBT,3,,,60255657.0,ns,2
Compare,RBT,3,,,59701036.0,ns,2
Compare,RBT,3,,,60214072.0,ns,2
Compare,RBT,3,,,60363219.0,ns,2
Compare,RBT,3,,,60132275.0,ns,2
Compare,RBT,3,,,59828267.0,ns,2
Compare,RBT,3,,,60255926.0,ns,2
Compare,RBT,3,,,60766047.0,ns,2
Compare,RBT,3,,,60836804.0,ns,2
Compare,RBT,3,,,62973345.0,ns,2
Compare,RBT,3,,,60895075.0,ns,2
Compare,RBT,3,,,60640687.0,ns,2
Compare,RBT,3,,,60495019.0,ns,2
Compare,RBT,3,,,60692794.0,ns,2
Compare,RBT,3,,,60294524.0,ns,2
Compare,RBT,3,,,60533765.0,ns,2
Compare,RBT,3,,,60483001.0,ns,2
Compare,RBT,3,,,60300513.0,ns,2
Compare,RBT,3,,,60121615.0,ns,2
Compare,RBT,3,,,60453465.0,ns,2
Compare,RBT,3,,,60416259.0,ns,2
Compare,RBT,3,,,60233219.0,ns,2
Compare,RBT,3,,,60994400.0,ns,2
Compare,RBT,3,,,60467621.0,ns,2
Compare,RBT,3,,,60160824.0,ns,2
Compare,RBT,3,,,63478601.0,ns,2
Compare,RBT,3,,,61417316.0,ns,2
Compare,RBT,3,,,61396823.0,ns,2
Compare,RBT,3,,,60819698.0,ns,2
Compare,RBT,3,,,60246803.0,ns,2
Compare,RBT,3,,,60138502.0,ns,2
Compare,RBT,3,,,60313757.0,ns,2
Compare,RBT,3,,,59923061.0,ns,2
Compare,RBT,3,,,60199984.0,ns,2
Compare,RBT,3,,,59879294.0,ns,2
Compare,RBT,3,,,60214121.0,ns,2
Compare,RBT,3,,,59914028.0,ns,2
Compare,RBT,3,,,60185878.0,ns,2
Compare,RBT,3,,,59940746.0,ns,2
Compare,RBT,3,,,60287461.0,ns,2
Compare,RBT,3,,,60495816.0,ns,2
Compare,RBT,3,,,60918631.0,ns,2
Compare,RBT,3,,,62139938.0,ns,2
Compare,RBT,3,,,60062017.0,ns,2
Compare,RBT,3,,,60673249.0,ns,2
Compare,RBT,3,,,60492451.0,ns,2
Compare,RBT,3,,,60836872.0,ns,2
Compare,RBT,3,,,60408611.0,ns,2
Compare,RBT,3,,,60339805.0,ns,2
Compare,RBT,3,,,60045416.0,ns,2
Compare,RBT,3,,,60098542.0,ns,2
Compare,RBT,3,,,60104719.0,ns,2
Compare,RBT,3,,,60412849.0,ns,2
Compare,RBT,3,,,59899476.0,ns,2
Compare,RBT,3,,,60663438.0,ns,2
Compare,RBT,3,,,60707239.0,ns,2
Compare,RBT,3,,,60242012.0,ns,2
Compare,RBT,3,,,60035171.0,ns,2
